IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
140.245.55.191,140.245.55.191,kingslayer-vpn.secwx.shop,Let's Encrypt,N/A
140.245.31.31,140.245.31.31,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.31.28,140.245.31.28,dhwaz.com,Let's Encrypt,N/A
140.245.31.22,140.245.31.22,layvait.com,Let's Encrypt,N/A
140.245.55.216,140.245.55.216,dpbot.net,Let's Encrypt,N/A
140.245.55.230,140.245.55.230,jianzhumi.com,Let's Encrypt,N/A
140.245.30.215,140.245.30.215,mail.openxpert.net,mailcow,N/A
140.245.56.32,140.245.56.32,dh.qudesign.cn,Let's Encrypt,N/A
140.245.30.180,140.245.30.180,aapanel.rankdigiworld.com,Let's Encrypt,N/A
140.245.56.78,140.245.56.78,sg2.022888.xyz,Let's Encrypt,N/A
140.245.30.157,140.245.30.157,bustedkneecap.duckdns.org,Let's Encrypt,N/A
140.245.30.147,140.245.30.147,*.infracore.work,Let's Encrypt,N/A
140.245.56.126,140.245.56.126,cloud.thinkbetter.cc,Let's Encrypt,N/A
140.245.30.104,140.245.30.104,dcio.me,Let's Encrypt,N/A
140.245.56.122,140.245.56.122,images.apple.com,Apple Inc.,N/A
140.245.56.152,140.245.56.152,tkchen1107.us.kg,Let's Encrypt,N/A
140.245.56.158,140.245.56.158,ssh.53070605.xyz,Let's Encrypt,N/A
140.245.30.72,140.245.30.72,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.30.61,140.245.30.61,psynormic.com,Let's Encrypt,N/A
140.245.30.60,140.245.30.60,svrreport.online,Let's Encrypt,N/A
140.245.30.29,140.245.30.29,omumbai1a.staging.livekit.app,Let's Encrypt,N/A
140.245.30.19,140.245.30.19,*.sanvi.net,Let's Encrypt,N/A
140.245.30.6,140.245.30.6,chatbot.onscene.pk,Let's Encrypt,N/A
140.245.29.252,140.245.29.252,mumbai.556688.xyz,Let's Encrypt,N/A
140.245.29.242,140.245.29.242,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.29.172,140.245.29.172,mbarm1.cincloud.xyz,Let's Encrypt,N/A
140.245.57.55,140.245.57.55,*.eshapro.biz.id,Let's Encrypt,N/A
140.245.57.83,140.245.57.83,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.29.151,140.245.29.151,aapnam.com,Let's Encrypt,N/A
140.245.29.150,140.245.29.150,joyy.com,"DigiCert, Inc.",N/A
140.245.57.99,140.245.57.99,localhost,FIT2CLOUD,N/A
140.245.29.136,140.245.29.136,n8n.devpact37.xyz,Let's Encrypt,N/A
140.245.29.130,140.245.29.130,ashfaqnabi.duckdns.org,Let's Encrypt,N/A
140.245.57.134,140.245.57.134,*.fuclau.de,Let's Encrypt,N/A
140.245.29.90,140.245.29.90,*.cloudlocal.host,Let's Encrypt,N/A
140.245.29.43,140.245.29.43,*.facemimic-ai.com,DigiCert Inc,N/A
140.245.57.234,140.245.57.234,ocs2-spw.2615948.xyz,Let's Encrypt,N/A
140.245.28.246,140.245.28.246,instance-20250323-1836,LiteSpeedCommunity,N/A
140.245.28.229,140.245.28.229,hcp.bluenile.in,Let's Encrypt,N/A
140.245.58.29,140.245.58.29,april.artoo.top,Let's Encrypt,N/A
140.245.58.46,140.245.58.46,yahoo.com,DigiCert Inc,N/A
140.245.28.163,140.245.28.163,akrity-oss.hotnow.site,Let's Encrypt,N/A
140.245.58.82,140.245.58.82,test.top2fa.com,Hestia Control Panel,N/A
140.245.58.85,140.245.58.85,*.cxxblog.fun,Let's Encrypt,N/A
140.245.58.28,140.245.58.28,localhost,FIT2CLOUD,N/A
140.245.28.136,140.245.28.136,*.claimgenius.com,Sectigo Limited,N/A
140.245.28.102,140.245.28.102,bot.scalebot.in,Let's Encrypt,N/A
140.245.28.99,140.245.28.99,kushagraja.in,Let's Encrypt,N/A
140.245.58.165,140.245.58.165,layerzone.com,Let's Encrypt,N/A
140.245.28.58,140.245.28.58,*.imoulife.com,"DigiCert, Inc.",N/A
140.245.58.198,140.245.58.198,localhost,FIT2CLOUD,N/A
140.245.27.254,140.245.27.254,s3.revantgupta.com,Let's Encrypt,N/A
140.245.58.250,140.245.58.250,fliq.kozow.com,Let's Encrypt,N/A
140.245.27.238,140.245.27.238,u0.824989.com,u0.824989.com,N/A
140.245.27.204,140.245.27.204,cloud-alpha.kozow.com,Let's Encrypt,N/A
140.245.59.41,140.245.59.41,Common Name,Organization,N/A
140.245.59.63,140.245.59.63,no-sni.vercel-infra.com,Let's Encrypt,N/A
140.245.59.68,140.245.59.68,sgwestarm2.170913.xyz,Let's Encrypt,N/A
140.245.27.137,140.245.27.137,booking.tiehotel.com,Let's Encrypt,N/A
140.245.59.105,140.245.59.105,ocs-spw.2615948.xyz,Let's Encrypt,N/A
140.245.59.107,140.245.59.107,summlee.tk,Let's Encrypt,N/A
140.245.27.126,140.245.27.126,shiner.ai,Let's Encrypt,N/A
140.245.59.115,140.245.59.115,sb.music.apple.com,Apple Inc.,N/A
140.245.27.78,140.245.27.78,jointeams.dpdns.org,Let's Encrypt,N/A
140.245.27.74,140.245.27.74,*.vconsol.com,Sectigo Limited,N/A
140.245.27.46,140.245.27.46,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.59.220,140.245.59.220,sg1.ipi.pp.ua,Let's Encrypt,N/A
140.245.59.225,140.245.59.225,app.barkahfadhil.com,Let's Encrypt,N/A
140.245.26.247,140.245.26.247,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.26.245,140.245.26.245,*.vconsol.com,Sectigo Limited,N/A
140.245.59.245,140.245.59.245,*.zoom.us,DigiCert Inc,N/A
140.245.26.237,140.245.26.237,localhost,FIT2CLOUD,N/A
140.245.60.13,140.245.60.13,biji.chuidi.work,Let's Encrypt,N/A
140.245.26.204,140.245.26.204,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.26.184,140.245.26.184,v2ray.dasunnimantha.com,Let's Encrypt,N/A
140.245.26.176,140.245.26.176,www.back2stores.com,Let's Encrypt,N/A
140.245.60.77,140.245.60.77,sg.9090990.xyz,Let's Encrypt,N/A
140.245.26.156,140.245.26.156,oci-apex.ebizframeai.com,Let's Encrypt,N/A
140.245.60.69,140.245.60.69,net.terry5.dpdns.org,Let's Encrypt,N/A
140.245.60.91,140.245.60.91,inlate.com,Let's Encrypt,N/A
140.245.60.96,140.245.60.96,chatboy.io,Let's Encrypt,N/A
140.245.60.108,140.245.60.108,lch.13982.com,Let's Encrypt,N/A
140.245.26.122,140.245.26.122,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.60.125,140.245.60.125,vip.ur-1.cn,Let's Encrypt,N/A
140.245.26.95,140.245.26.95,Common Name,Organization,N/A
140.245.26.81,140.245.26.81,qopclothing.com,Let's Encrypt,N/A
140.245.26.52,140.245.26.52,minedrake.duckdns.org,Let's Encrypt,N/A
140.245.26.30,140.245.26.30,144.24.100.251,Clothwork,N/A
140.245.61.24,140.245.61.24,oracle.pasindutharusha.tech,Let's Encrypt,N/A
140.245.61.29,140.245.61.29,drk3111.eu.org,Let's Encrypt,N/A
140.245.61.63,140.245.61.63,888201.xyz,Let's Encrypt,N/A
140.245.61.65,140.245.61.65,panel.starmine.site,Let's Encrypt,N/A
140.245.25.171,140.245.25.171,sharesnap.in,Let's Encrypt,N/A
140.245.61.68,140.245.61.68,pms.diningconnect.com,Let's Encrypt,N/A
140.245.61.72,140.245.61.72,o5.100118.xyz,Let's Encrypt,N/A
140.245.25.161,140.245.25.161,shabdkosh.gauravcaprihan.com,Let's Encrypt,N/A
140.245.61.74,140.245.61.74,*.lzamq.cc,Let's Encrypt,N/A
140.245.61.84,140.245.61.84,future.yki.cc,Let's Encrypt,N/A
140.245.61.121,140.245.61.121,localhost,FIT2CLOUD,N/A
140.245.25.96,140.245.25.96,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.25.93,140.245.25.93,dazno.duckdns.org,Let's Encrypt,N/A
140.245.61.150,140.245.61.150,Zoraxy Self-host,imuslab.com,N/A
140.245.61.155,140.245.61.155,Common Name,Organization,N/A
140.245.61.173,140.245.61.173,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.25.46,140.245.25.46,*.finseva.in,Sectigo Limited,N/A
140.245.25.38,140.245.25.38,Generic SSL Certificate,NA,N/A
140.245.61.163,140.245.61.163,apple.com,SelfSigned,N/A
140.245.61.231,140.245.61.231,localhost,Kong,N/A
140.245.25.4,140.245.25.4,bojack.vip,Let's Encrypt,N/A
140.245.61.237,140.245.61.237,963888.xyz,Let's Encrypt,N/A
140.245.24.239,140.245.24.239,*.convay.com,Sectigo Limited,N/A
140.245.24.212,140.245.24.212,auth.primebyte.in,Let's Encrypt,N/A
140.245.62.53,140.245.62.53,audiobook.sapce.top,Let's Encrypt,N/A
140.245.24.139,140.245.24.139,ott.sandesh.qzz.io,Let's Encrypt,N/A
140.245.24.120,140.245.24.120,n8n.omiicreation.in,Let's Encrypt,N/A
140.245.24.116,140.245.24.116,bodhidham.raiserank.com.np,Let's Encrypt,N/A
140.245.62.139,140.245.62.139,Cloudflare,"Cloudflare, Inc.",N/A
140.245.24.87,140.245.24.87,api.kapicilarkrali.com.tr,Let's Encrypt,N/A
140.245.62.154,140.245.62.154,localhost,FIT2CLOUD,N/A
140.245.62.158,140.245.62.158,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.62.168,140.245.62.168,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.62.169,140.245.62.169,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.24.56,140.245.24.56,n8nraban.gleeze.com,Let's Encrypt,N/A
140.245.24.41,140.245.24.41,ladakh.site,Let's Encrypt,N/A
140.245.24.36,140.245.24.36,subsshare.005552.xyz,Let's Encrypt,N/A
140.245.62.203,140.245.62.203,cfo.org-life.com,Let's Encrypt,N/A
140.245.62.182,140.245.62.182,Cloudflare,"Cloudflare, Inc.",N/A
140.245.24.3,140.245.24.3,theindianalpha.com,Let's Encrypt,N/A
140.245.62.234,140.245.62.234,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.23.249,140.245.23.249,autoparts.flimson.com,Let's Encrypt,N/A
140.245.62.254,140.245.62.254,yahoo.com,DigiCert Inc,N/A
140.245.23.211,140.245.23.211,panel.sdglobal.in,Let's Encrypt,N/A
140.245.23.209,140.245.23.209,oracleserver.webzenia.com,Let's Encrypt,N/A
140.245.63.36,140.245.63.36,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.23.196,140.245.23.196,server2.mailfo.xyz,Hestia Control Panel,N/A
140.245.63.53,140.245.63.53,localhost,Internet Widgits Pty Ltd,N/A
140.245.63.55,140.245.63.55,FortiGate,Fortinet,N/A
140.245.23.174,140.245.23.174,gamesandstuff.dedyn.io,Let's Encrypt,N/A
140.245.23.166,140.245.23.166,*.facemimic-ai.com,DigiCert Inc,N/A
140.245.63.87,140.245.63.87,cloudflare-dns.com,SSL Corp,N/A
140.245.23.143,140.245.23.143,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.23.140,140.245.23.140,www.vbox.au,Hestia Control Panel,N/A
140.245.63.100,140.245.63.100,wvpsxjp.ixiaoxin520.sbs,Let's Encrypt,N/A
140.245.23.122,140.245.23.122,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.23.119,140.245.23.119,o.patil.cc,Hestia Control Panel,N/A
140.245.23.57,140.245.23.57,vedicastrohub.com,Let's Encrypt,N/A
140.245.23.40,140.245.23.40,sslablk.com,Let's Encrypt,N/A
140.245.23.32,140.245.23.32,joyy.com,"DigiCert, Inc.",N/A
140.245.23.22,140.245.23.22,*.vconsol.com,Sectigo Limited,N/A
140.245.22.247,140.245.22.247,ravi.ravikumar.live,Let's Encrypt,N/A
140.245.22.162,140.245.22.162,infinity.vunat.in,Let's Encrypt,N/A
140.245.22.141,140.245.22.141,plex.srkh.in,Let's Encrypt,N/A
140.245.22.131,140.245.22.131,*.tachyontracer.in,Let's Encrypt,N/A
140.245.22.123,140.245.22.123,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.22.116,140.245.22.116,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.22.98,140.245.22.98,jangrahul.top,Let's Encrypt,N/A
140.245.22.96,140.245.22.96,*.rebuildsucceeded.com,Let's Encrypt,N/A
140.245.22.79,140.245.22.79,busi.saramhashmi.com,Let's Encrypt,N/A
140.245.64.160,140.245.64.160,tnt-intl.co.kr,Let's Encrypt,N/A
140.245.64.173,140.245.64.173,beta.changple.ai,Let's Encrypt,N/A
140.245.64.178,140.245.64.178,wenect.duckdns.org,Let's Encrypt,N/A
140.245.22.46,140.245.22.46,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.22.21,140.245.22.21,oci-mono.rahulraman.in,Let's Encrypt,N/A
140.245.22.7,140.245.22.7,'140.245.22.7',Vconsol,N/A
140.245.22.4,140.245.22.4,dash.phoenixwings.cloud,Let's Encrypt,N/A
140.245.21.247,140.245.21.247,hcp.streamtipz.in,Let's Encrypt,N/A
140.245.21.232,140.245.21.232,lohanabuy.com,Let's Encrypt,N/A
140.245.21.221,140.245.21.221,gtplbroadband.com,DigiCert Inc,N/A
140.245.21.180,140.245.21.180,anirudh.ydns.eu,Let's Encrypt,N/A
140.245.21.176,140.245.21.176,0i.zerointegration.com,Let's Encrypt,N/A
140.245.65.117,140.245.65.117,kor-naive.slimheart.dpdns.org,Let's Encrypt,N/A
140.245.65.133,140.245.65.133,ko2.servu.top,Let's Encrypt,N/A
140.245.21.100,140.245.21.100,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.65.140,140.245.65.140,cc.jhyl.bid,Let's Encrypt,N/A
140.245.21.97,140.245.21.97,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.65.195,140.245.65.195,*.wargaming.net,DigiCert Inc,N/A
140.245.65.209,140.245.65.209,134.185.117.230,EunsaemChurch,N/A
140.245.21.25,140.245.21.25,api.jsonreader.com,Let's Encrypt,N/A
140.245.65.244,140.245.65.244,cloudflare-dns.com,SSL Corp,N/A
140.245.20.239,140.245.20.239,panel2.outcastnode.xyz,Let's Encrypt,N/A
140.245.20.237,140.245.20.237,bill.cloudnet.one,Let's Encrypt,N/A
140.245.66.13,140.245.66.13,spacex.com,GlobalSign nv-sa,N/A
140.245.66.79,140.245.66.79,*.1024bug.top,ZeroSSL,N/A
140.245.20.155,140.245.20.155,*.apica.io,"GoDaddy.com, Inc.",N/A
140.245.66.98,140.245.66.98,headscale.nimeikancuo.top,Let's Encrypt,N/A
140.245.66.101,140.245.66.101,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.20.108,140.245.20.108,iriseller.com,Let's Encrypt,N/A
140.245.66.123,140.245.66.123,makerji.one,Let's Encrypt,N/A
140.245.20.101,140.245.20.101,aayuhealth.duckdns.org,ZeroSSL,N/A
140.245.20.90,140.245.20.90,api.gojourneyjunction.com,Let's Encrypt,N/A
140.245.20.75,140.245.20.75,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.66.164,140.245.66.164,omyfnc.kr,Let's Encrypt,N/A
140.245.20.72,140.245.20.72,nunchaku.chintan.ai,Let's Encrypt,N/A
140.245.20.46,140.245.20.46,*.facemimic-ai.com,DigiCert Inc,N/A
140.245.20.44,140.245.20.44,cp.tecis.in,Let's Encrypt,N/A
140.245.20.35,140.245.20.35,*.eschoolapp.in,Let's Encrypt,N/A
140.245.20.20,140.245.20.20,*.thinkowl-preprod.com,Let's Encrypt,N/A
140.245.20.4,140.245.20.4,homeassistant.sandesh-ghimire.com.np,Let's Encrypt,N/A
140.245.66.220,140.245.66.220,*.bronto.space,Let's Encrypt,N/A
140.245.66.250,140.245.66.250,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.19.217,140.245.19.217,hestia.qurantharjima.online,Hestia Control Panel,N/A
140.245.19.201,140.245.19.201,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.67.62,140.245.67.62,poker.boksl.com,Let's Encrypt,N/A
140.245.19.159,140.245.19.159,gadxget.com,Let's Encrypt,N/A
140.245.67.92,140.245.67.92,Common Name,Organization,N/A
140.245.19.132,140.245.19.132,as.gogram.fun,Let's Encrypt,N/A
140.245.19.106,140.245.19.106,api.sedata-ai.tech,Let's Encrypt,N/A
140.245.19.99,140.245.19.99,tourismbeast.com,Let's Encrypt,N/A
140.245.67.139,140.245.67.139,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.19.33,140.245.19.33,Common Name,Organization,N/A
140.245.67.214,140.245.67.214,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.19.9,140.245.19.9,municipalflex.com,Let's Encrypt,N/A
140.245.67.229,140.245.67.229,bioceo.logictree.app,Let's Encrypt,N/A
140.245.19.0,140.245.19.0,heaveninvestment.heavengroup.in,Let's Encrypt,N/A
140.245.67.251,140.245.67.251,www.wav8.com,Let's Encrypt,N/A
140.245.67.255,140.245.67.255,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.18.239,140.245.18.239,Cloudflare,"Cloudflare, Inc.",N/A
140.245.18.180,140.245.18.180,nepsedata.com,Let's Encrypt,N/A
140.245.18.179,140.245.18.179,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.18.145,140.245.18.145,panel.vextorahosting.fun,Let's Encrypt,N/A
140.245.68.113,140.245.68.113,www.google.com,Google Trust Services,N/A
140.245.18.104,140.245.18.104,bharatai.strangled.net,Let's Encrypt,N/A
140.245.68.132,140.245.68.132,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.68.125,140.245.68.125,mockserver.site,Let's Encrypt,N/A
140.245.18.92,140.245.18.92,mail.exteed.com,Let's Encrypt,N/A
140.245.68.147,140.245.68.147,ant.xgiu.com,Let's Encrypt,N/A
140.245.18.90,140.245.18.90,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.68.153,140.245.68.153,ryti.kr,Let's Encrypt,N/A
140.245.68.167,140.245.68.167,*.softagape.com,Let's Encrypt,N/A
140.245.17.244,140.245.17.244,in.configured.cc,Let's Encrypt,N/A
140.245.68.240,140.245.68.240,splunk.77420142.xyz,Let's Encrypt,N/A
140.245.69.34,140.245.69.34,sni.eliv.kr,Google Trust Services,N/A
140.245.17.195,140.245.17.195,theskillsets.com,Dis,N/A
140.245.69.29,140.245.69.29,cloudflare-dns.com,SSL Corp,N/A
140.245.17.155,140.245.17.155,n8n.loopnest.in,Let's Encrypt,N/A
140.245.69.89,140.245.69.89,augment.wxnext.top,Let's Encrypt,N/A
140.245.69.91,140.245.69.91,api.sismvp.com,Let's Encrypt,N/A
140.245.17.121,140.245.17.121,dify.star7gaurav.in,Let's Encrypt,N/A
140.245.17.118,140.245.17.118,tusharadguard.duckdns.org,Let's Encrypt,N/A
140.245.17.115,140.245.17.115,*.tipi.local,runtipi.io,N/A
140.245.17.90,140.245.17.90,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.69.149,140.245.69.149,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.69.152,140.245.69.152,miraetech.net,Let's Encrypt,N/A
140.245.17.78,140.245.17.78,gamestelk.my.id,Hestia Control Panel,N/A
140.245.17.59,140.245.17.59,rajdev.online,Let's Encrypt,N/A
140.245.69.197,140.245.69.197,amd.jisenxu.dpdns.org,Let's Encrypt,N/A
140.245.69.206,140.245.69.206,pass.gzautobot.top,Let's Encrypt,N/A
140.245.17.24,140.245.17.24,*.tendertiger.co.in,"GoDaddy.com, Inc.",N/A
140.245.69.247,140.245.69.247,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.16.235,140.245.16.235,joyy.com,"DigiCert, Inc.",N/A
140.245.70.13,140.245.70.13,kr03.jixiang.link,Let's Encrypt,N/A
140.245.70.18,140.245.70.18,www.sjh99.shop,Let's Encrypt,N/A
140.245.16.218,140.245.16.218,n8nworkspace.dpdns.org,Let's Encrypt,N/A
140.245.16.215,140.245.16.215,joyy.com,"DigiCert, Inc.",N/A
140.245.16.186,140.245.16.186,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.70.116,140.245.70.116,www.google.com,Google Trust Services,N/A
140.245.70.104,140.245.70.104,openlitespeed.host,LiteSpeedCommunity,N/A
140.245.70.115,140.245.70.115,kesa.uk,Let's Encrypt,N/A
140.245.70.149,140.245.70.149,repertory.cloud,Let's Encrypt,N/A
140.245.70.164,140.245.70.164,auth.camcorder.kr,Let's Encrypt,N/A
140.245.16.72,140.245.16.72,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.70.177,140.245.70.177,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.70.197,140.245.70.197,d339.top,ZeroSSL,N/A
140.245.16.36,140.245.16.36,axpert.eswaranerp.com,"GoDaddy.com, Inc.",N/A
140.245.16.28,140.245.16.28,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.70.216,140.245.70.216,cgprojectleaderboard.duckdns.org,Let's Encrypt,N/A
140.245.71.26,140.245.71.26,yahoo.com,DigiCert Inc,N/A
140.245.71.60,140.245.71.60,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.15.151,140.245.15.151,joyy.com,"DigiCert, Inc.",N/A
140.245.71.107,140.245.71.107,api.gdgoc.com,Let's Encrypt,N/A
140.245.15.112,140.245.15.112,songapi.thakur.dev,Let's Encrypt,N/A
140.245.71.120,140.245.71.120,www.sskr.one,ZeroSSL,N/A
140.245.15.94,140.245.15.94,erp.acenarglobal.com,Let's Encrypt,N/A
140.245.15.83,140.245.15.83,www.tendertiger.in,"GoDaddy.com, Inc.",N/A
140.245.71.193,140.245.71.193,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.15.44,140.245.15.44,legacy.thenextgentechinsider.com,Let's Encrypt,N/A
140.245.15.41,140.245.15.41,inpharmaco.in,Let's Encrypt,N/A
140.245.71.192,140.245.71.192,*.aipf01.shop,Let's Encrypt,N/A
140.245.15.9,140.245.15.9,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.14.251,140.245.14.251,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.14.232,140.245.14.232,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.72.0,140.245.72.0,nz.allenking.top,Let's Encrypt,N/A
140.245.14.226,140.245.14.226,elk.testingmestingfesting988776655.site,Let's Encrypt,N/A
140.245.72.22,140.245.72.22,moree-linker.com,Let's Encrypt,N/A
140.245.72.60,140.245.72.60,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.72.69,140.245.72.69,recobar.com,Let's Encrypt,N/A
140.245.14.146,140.245.14.146,omumbai1b.production.livekit.app,Let's Encrypt,N/A
140.245.14.139,140.245.14.139,api.healnixa.com,Let's Encrypt,N/A
140.245.14.125,140.245.14.125,*.rong-rtc.com,"TrustAsia Technologies, Inc.",N/A
140.245.72.131,140.245.72.131,misaka.si,Let's Encrypt,N/A
140.245.14.98,140.245.14.98,joyy.com,"DigiCert, Inc.",N/A
140.245.14.78,140.245.14.78,traverse-universe.com,Let's Encrypt,N/A
140.245.72.190,140.245.72.190,api.mecipe.com,Let's Encrypt,N/A
140.245.14.42,140.245.14.42,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.72.202,140.245.72.202,atubn.ghixwipm.com,Google Trust Services,N/A
140.245.14.11,140.245.14.11,bhandarachowk.com,Let's Encrypt,N/A
140.245.72.234,140.245.72.234,cvawar.com,Let's Encrypt,N/A
140.245.14.0,140.245.14.0,jenkins.nimeshahir.cloud,Let's Encrypt,N/A
140.245.13.242,140.245.13.242,cloud.truvisionfilms.studio,Let's Encrypt,N/A
140.245.13.238,140.245.13.238,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.73.22,140.245.73.22,api.crd.monster,Let's Encrypt,N/A
140.245.13.209,140.245.13.209,sadmin.searshor.com,Let's Encrypt,N/A
140.245.73.30,140.245.73.30,xn--6rs793afrvxgh.dpdns.org,Let's Encrypt,N/A
140.245.13.150,140.245.13.150,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.73.83,140.245.73.83,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.73.86,140.245.73.86,exdict.site,Let's Encrypt,N/A
140.245.13.136,140.245.13.136,n8nfordt.duckdns.org,Let's Encrypt,N/A
140.245.73.99,140.245.73.99,telem.api.pradify.org,Let's Encrypt,N/A
140.245.13.126,140.245.13.126,server.yottaserver.in,Let's Encrypt,N/A
140.245.73.129,140.245.73.129,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.13.108,140.245.13.108,alankritabanerjee.com,Let's Encrypt,N/A
140.245.13.104,140.245.13.104,*.abhishekbhatt.tech,Let's Encrypt,N/A
140.245.73.136,140.245.73.136,hottyjeff.com,Let's Encrypt,N/A
140.245.13.78,140.245.13.78,earnezy.in,Let's Encrypt,N/A
140.245.13.63,140.245.13.63,*.7j.game,SSL Corporation,N/A
140.245.13.45,140.245.13.45,singularityai.mooo.com,Let's Encrypt,N/A
140.245.13.26,140.245.13.26,client.hxstudios.fun,Let's Encrypt,N/A
140.245.12.252,140.245.12.252,orv2r.lankai.com,Let's Encrypt,N/A
140.245.12.177,140.245.12.177,api.gyaanmanthan.in,Let's Encrypt,N/A
140.245.12.167,140.245.12.167,portal.datacouch.io,Let's Encrypt,N/A
140.245.74.98,140.245.74.98,theminworld.com,Let's Encrypt,N/A
140.245.12.86,140.245.12.86,*.questionpro.io,Sectigo Limited,N/A
140.245.74.192,140.245.74.192,*.wargaming.net,DigiCert Inc,N/A
140.245.74.226,140.245.74.226,xn--2z1bm6l82h36pz8b.kr,Let's Encrypt,N/A
140.245.74.239,140.245.74.239,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.74.246,140.245.74.246,airflow.lawdigest.cloud,Let's Encrypt,N/A
140.245.75.0,140.245.75.0,localhost,FIT2CLOUD,N/A
140.245.75.6,140.245.75.6,dl7.86482425.xyz,Let's Encrypt,N/A
140.245.11.218,140.245.11.218,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.75.31,140.245.75.31,outpolic.store,Let's Encrypt,N/A
140.245.75.35,140.245.75.35,x.ycy1.cn,Let's Encrypt,N/A
140.245.75.39,140.245.75.39,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.75.42,140.245.75.42,atu2.duckdns.org,Let's Encrypt,N/A
140.245.11.193,140.245.11.193,n8n.triptribe.info,Let's Encrypt,N/A
140.245.11.187,140.245.11.187,cr.ypto.info,Let's Encrypt,N/A
140.245.75.56,140.245.75.56,zeffiro.kr,Let's Encrypt,N/A
140.245.75.60,140.245.75.60,krccarm2.170913.xyz,Let's Encrypt,N/A
140.245.11.173,140.245.11.173,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.11.164,140.245.11.164,joyy.com,"DigiCert, Inc.",N/A
140.245.75.78,140.245.75.78,ock520.53ls0.top,ZeroSSL,N/A
140.245.11.145,140.245.11.145,pmevidyaapps.ncert.gov.in,DigiCert Inc,N/A
140.245.11.125,140.245.11.125,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.75.111,140.245.75.111,localhost,FIT2CLOUD,N/A
140.245.75.121,140.245.75.121,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
